,Timing_pandas,Timing_polars
1,83.4,32.42
2,8.81,8.1
3,6.31,5.76
4,6.1,2.93
5,6.76,3.1
6,0.83,0.4
7,5.58,2.83
8,4.33,2.25
9,10.72,1.17
10,28.13,4.57
11,8.79,0.02
12,20.26,13.25
